City,Country,Date,Lat,Long,Temp,Humidity,Cloudiness,Wind Speed
Lyngseidet,NO,1510980600,69.58,20.22,24.8,79,0,3.04
Sharjah,AE,1510979400,25.36,55.4,73.09,68,0,4.7
Bonfim,BR,1510982128,3.08,-59.95,82.03,61,0,9.82
Dubreka,GN,1510982130,9.79,-13.52,82.43,100,24,7.29
Cootamundra,AU,1510982131,-34.65,148.03,62.59,98,92,9.64
Chiang Khong,TH,1510977600,20.26,100.4,84.2,74,20,3.36
Big Bend,SZ,1510977600,-26.82,31.93,57.2,87,0,2.24
Prince Albert,CA,1510977600,53.2,-105.77,-0.41,84,5,6.93
Batagay-Alyta,RU,1510982137,67.8,130.41,-2.85,68,48,4.0
Dachau,DE,1510980600,48.26,11.43,34.83,100,90,3.36
La Orilla,MX,1510982140,17.98,-102.23,77.44,100,92,2.48
Tarnow,PL,1510982142,50.01,20.99,32.93,100,92,5.39
Urusha,RU,1510982143,54.05,122.9,-0.96,43,0,8.52
Dengfeng,CN,1510982145,34.46,113.03,37.43,40,80,4.27
Moroni,KM,1510977600,-11.7,43.26,84.2,83,75,9.17
Kurilsk,RU,1510982147,45.23,147.88,43.33,96,92,36.55
Contamana,PE,1510982149,-7.33,-75.02,75.32,97,48,1.81
Smithers,CA,1510981200,54.78,-127.17,21.2,92,90,4.7
Vaini,TO,1510981200,-21.2,-175.2,80.6,83,75,3.36
Carmelo,UY,1510977600,-33.99,-58.29,53.6,62,0,9.17
Awbari,LY,1510982155,26.59,12.78,33.65,71,0,2.82
Dejen,ET,1510982157,10.17,38.13,61.28,33,0,2.37
Fuerte Olimpo,PY,1510982158,-21.04,-57.87,76.76,85,68,10.83
Malanje,AO,1510982160,-9.54,16.34,64.66,100,80,3.33
Naudero,PK,1510981200,27.66,68.36,68.0,56,0,9.17
Aloja,LV,1510982163,57.77,24.88,40.76,94,92,17.47
Carauari,BR,1510982165,-4.88,-66.9,78.56,94,32,2.55
Naze,JP,1510977600,28.37,129.48,71.6,68,75,23.04
Zverinogolovskoye,RU,1510982168,54.46,64.85,25.55,97,80,9.42
Lakhdenpokhya,RU,1510982169,61.52,30.2,35.45,94,56,12.77
Tiznit,MA,1510982171,29.7,-9.73,54.35,97,48,2.82
Uglegorsk,RU,1510982172,49.08,142.03,21.46,84,76,10.31
Toora-Khem,RU,1510982174,52.47,96.11,12.1,54,12,0.36
Ushuaia,AR,1510977600,-54.8,-68.3,44.6,75,75,4.7
Vyazemskiy,RU,1510982177,47.54,134.75,4.9,59,0,4.23
Rugby,GB,1510980600,52.37,-1.26,41.32,81,40,10.29
Aasiaat,GL,1510982180,68.71,-52.87,18.26,100,0,15.79
Uarini,BR,1510982182,-2.99,-65.11,80.5,82,0,4.12
Tahe,CN,1510982183,52.33,124.73,-3.52,36,32,9.26
Chichimila,MX,1510982185,20.62,-88.22,68.44,82,0,3.33
Pytalovo,RU,1510982186,57.07,27.91,35.95,93,88,12.84
Clonakilty,IE,1510979400,51.62,-8.87,50.0,100,75,8.05
Nueva Loja,EC,1510982189,0.08,-76.88,74.56,93,20,2.1
Marsabit,KE,1510982191,2.33,37.99,85.0,29,0,7.02
Polson,US,1510982154,47.69,-114.16,29.2,69,88,4.23
Balikpapan,ID,1510982194,-1.27,116.83,85.31,100,36,5.01
Ventspils,LV,1510980600,57.39,21.56,46.4,75,75,18.34
Baoding,CN,1510981920,38.85,115.49,37.3,37,0,10.94
Kabinda,CD,1510982198,-6.13,24.48,69.25,100,92,4.61
Elias Fausto,BR,1510977600,-23.04,-47.37,68.0,88,0,5.82
Saryozek,KZ,1510982201,44.36,77.98,37.88,58,0,7.29
Yar-Sale,RU,1510982202,66.83,70.83,18.4,95,80,9.6
Marawi,SD,1510982204,18.48,31.82,72.76,60,0,9.86
Muli,MV,1510982205,2.92,73.57,83.29,100,8,6.4
Sabzevar,IR,1510982207,36.21,57.68,46.25,60,0,3.6
Martil,MA,1510981200,35.62,-5.28,58.32,72,64,2.24
Chik,RU,1510979400,54.99,82.43,28.4,79,75,13.42
Puteyets,RU,1510982211,65.17,57.09,24.43,90,88,6.02
Keffi,NG,1510982212,8.85,7.87,74.2,75,0,3.11
Toba Tek Singh,PK,1510982122,30.97,72.48,63.53,100,0,4.56
Beidao,CN,1510982215,34.57,105.89,33.02,92,76,3.78
Bambari,CF,1510982217,5.77,20.68,74.56,85,32,8.93
Port Antonio,JM,1510977600,18.18,-76.46,80.6,78,20,11.41
Morehead,PG,1510982220,-8.71,141.64,82.25,90,80,13.85
Yenagoa,NG,1510982221,4.92,6.26,76.09,91,36,7.07
Maumere,ID,1510982223,-8.62,122.21,82.93,100,68,7.63
Kasrawad,IN,1510977600,22.13,75.6,71.6,64,0,3.36
Puerto Quijarro,BO,1510982226,-17.78,-57.77,76.36,88,12,7.36
Poitiers,FR,1510981200,46.58,0.33,44.6,93,90,5.82
Karlskoga,SE,1510980600,59.33,14.52,40.84,87,64,17.22
Klyuchi,RU,1510982231,56.3,160.85,22.58,69,0,6.06
Alta,NO,1510980600,69.97,23.27,20.17,92,0,2.24
Karaidel,RU,1510982234,55.83,56.91,25.33,86,80,8.14
Faridnagar,IN,1510979400,28.77,77.62,69.8,64,20,4.7
Aguimes,ES,1510981200,27.91,-15.45,68.0,77,75,6.93
Bjornevatn,NO,1510980600,69.67,29.98,19.4,92,88,2.24
Darab,IR,1510982239,28.75,54.54,54.98,41,0,3.11
Vazante,BR,1510982241,-17.99,-46.91,66.77,90,56,5.57
College,US,1510981080,64.86,-147.8,-5.14,83,1,2.89
Pauini,BR,1510982244,-7.71,-66.98,75.95,92,12,2.37
Kaspiyskiy,RU,1510982245,45.39,47.37,43.15,100,32,14.18
Spas-Klepiki,RU,1510982247,55.13,40.18,34.06,90,92,12.62
Sarangani,PH,1510982248,5.4,125.46,84.41,100,24,9.04
Pangnirtung,CA,1510982250,66.15,-65.71,-3.79,91,0,8.59
Netivot,IL,1510982251,31.42,34.59,57.01,88,32,3.11
Young,UY,1510982252,-32.68,-57.63,55.21,59,8,12.28
Naryan-Mar,RU,1510982254,67.67,53.09,17.86,82,48,12.55
Bunia,CD,1510982255,1.57,30.25,68.89,100,48,1.36
Libenge,CD,1510982257,3.65,18.63,73.48,94,88,2.04
Mondlo,ZA,1510982258,-27.98,30.72,57.86,65,0,3.83
Saraland,US,1510980960,30.82,-88.07,60.24,93,40,5.82
Pyshma,RU,1510982261,56.95,63.25,25.55,90,44,10.38
West Wendover,US,1510980960,40.74,-114.07,35.6,47,1,14.99
Little Current,CA,1510981200,45.98,-81.92,41.0,93,90,19.46
Grenaa,DK,1510980600,56.42,10.88,44.6,87,92,10.29
Senovo,BG,1510982266,43.65,26.37,45.31,100,92,7.52
Evensk,RU,1510982268,61.95,159.23,28.21,100,36,20.56
Nayoro,JP,1510982269,44.35,142.46,37.16,87,56,11.83
Leiyang,CN,1510982271,26.4,112.86,47.29,99,100,18.7
Umm Lajj,SA,1510982273,25.02,37.27,79.01,76,48,6.06
Jimo,CN,1510977600,36.39,120.46,39.2,41,75,13.42
Amga,RU,1510982276,60.9,131.96,-12.61,58,44,3.04
Wamba,CD,1510982277,2.15,27.99,71.27,93,88,3.0
Gobabis,NA,1510977600,-22.45,18.97,53.6,37,0,1.12
Ondjiva,AO,1510982280,-17.07,15.73,71.27,25,32,7.52
Dyurtyuli,RU,1510982281,55.49,54.87,29.78,93,68,9.64
Samfya,ZM,1510982283,-11.37,29.56,74.29,68,8,11.39
Messina,ZA,1510982284,-22.35,30.04,70.55,52,12,10.6
Chumikan,RU,1510982286,54.72,135.31,-1.81,100,20,7.52
Kurgan,RU,1510982287,55.45,65.33,24.43,98,92,8.03
Barreiras,BR,1510982289,-12.15,-44.99,64.84,92,8,3.0
Cerro Largo,BR,1510982290,-28.15,-54.74,64.25,100,92,6.91
Tucumcari,US,1510980780,35.17,-103.72,66.2,37,1,31.09
Mae Chan,TH,1510977600,20.15,99.85,84.2,74,20,3.36
Lanigan,CA,1510982295,51.85,-105.03,7.6,79,48,11.61
Hit,IQ,1510982296,33.64,42.83,57.19,69,0,2.89
Jocotepec,MX,1510982297,20.3,-103.43,52.24,70,0,2.26
Westport,NZ,1510982299,-41.75,171.6,65.6,61,0,4.5
Grand Forks,US,1510980900,47.93,-97.03,15.78,85,75,5.82
Pozoblanco,ES,1510981200,38.38,-4.85,39.2,86,0,2.71
Coswig,DE,1510980600,51.13,13.58,32.0,89,40,5.82
Heihe,CN,1510979400,50.24,127.49,1.4,37,0,11.18
High Level,CA,1510981200,58.52,-117.14,-7.61,76,20,2.59
Sudak,UA,1510982308,44.85,34.97,34.1,100,8,3.0
Iguai,BR,1510982309,-14.76,-40.09,61.15,94,48,2.71
San Rafael,AR,1510982311,-34.62,-68.33,53.95,20,12,7.58
Jalpaiguri,IN,1510982312,26.52,88.73,83.56,66,0,2.89
Yamethin,MM,1510982314,20.43,96.15,87.65,66,0,8.75
Uray,RU,1510982315,60.12,64.78,24.61,94,56,4.9
Shelopugino,RU,1510982317,51.65,117.56,-1.99,43,0,5.79
Totma,RU,1510982318,59.97,42.76,34.24,91,76,14.18
Kuusamo,FI,1510980600,65.97,29.18,23.0,92,90,6.93
Bafoulabe,ML,1510982321,13.81,-10.83,66.5,64,80,3.22
Turkan,AZ,1510979400,40.36,50.22,53.6,93,90,2.24
Rocky Mountain House,CA,1510982319,52.37,-114.92,6.16,63,48,2.77
Rothes,GB,1510980600,57.53,-3.21,39.16,65,75,20.8
Kumphawapi,TH,1510977600,17.11,103.01,89.6,59,0,6.93
Dutlwe,BW,1510982329,-23.98,23.9,67.67,19,0,7.14
Jucas,BR,1510982330,-6.53,-39.53,75.91,61,36,10.38
Sao Raimundo Nonato,BR,1510982332,-9.02,-42.7,69.47,69,36,4.72
Benjamin Aceval,PY,1510977600,-24.97,-57.57,73.4,88,75,5.82
Estevan,CA,1510980900,49.13,-102.98,4.68,84,1,14.99
Kasongo,CD,1510982336,-4.45,26.67,69.38,99,88,3.04
Eidfjord,NO,1510982338,60.47,7.07,24.11,89,76,3.56
Cockburn Town,BS,1510982340,24.03,-74.52,78.38,100,48,21.12
Lalpur,IN,1510982341,22.2,69.97,80.14,38,0,11.95
Malmyzh,RU,1510982343,56.52,50.68,30.68,95,92,14.63
